Dataset_ID,Field_API_Name,Field_Label,Field_Type,Value
Dataset_001,Number_of_people_on_listserv__c,Number of people on listserv,text,N/a
Dataset_001,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,0558035317
Dataset_001,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,n/A
Dataset_001,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,5203
Dataset_001,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,8957
Dataset_001,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,Them.
Dataset_001,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,No
Dataset_001,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,Interactive
Dataset_001,Articles__c,Articles,dropdown,Updated
Dataset_001,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Attended
Dataset_001,Fact_Sheets__c,Fact Sheets,dropdown,NA/None
Dataset_001,Maps__c,Maps,dropdown,Updated
Dataset_001,Newsletter__c,Newsletter,dropdown,New
Dataset_001,Toolkits__c,Toolkits,dropdown,NA/None
Dataset_001,Webinars__c,Webinars,dropdown,Updated
Dataset_001,Websites__c,Websites,dropdown,Updated
Dataset_001,Describe_one_tool_that_you_created_to_ad__c,Describe one tool that you created to address a problem in your state. (Allows 500 characters),textarea,Nor kid story why bad kid. Remember business factor figure wait.Themselves together third travel word music amount wall.Executive see near measure. Produce join century plan fund bit country. None little type also for.
Dataset_002,Number_of_people_on_listserv__c,Number of people on listserv,text,6133759
Dataset_002,Number_of_people_receiving_newsletter__c,Number of people receiving newsletter (via mail or electronic),text,n/A
Dataset_002,How_many_newsletter_issues_per_year__c,How many newsletter issues per year (if known)?,text,N/A
Dataset_002,How_many_listserv_posts_distributed_per__c,How many listserv posts distributed per year (if known)?,text,N/a
Dataset_002,Number_of_website_hits_Specify_most_pop__c,Number of website hits- Specify most popular sections of websites (if known) - Value,text,1353840021
Dataset_002,Number_of_website_hits_Description__c,Number of website hits- Specify most popular sections of websites (if known) - Specify (Allows 2000 characters),textarea,People road student.What reflect individual sure late. Social myself own customer huge color.Staff really single from if number firm. Knowledge daughter tell tax bar understand.Suggest political material against. Yard oil professor. Also fall full use already from recognize.
Dataset_002,Is_the_audience_membership_for_the_lists__c,Is the audience/membership for the listserv the same as for the newsletter?,dropdown,Yes
Dataset_002,Is_the_listserv_one_way_information_or_i__c,Is the listserv one-way information or interactive?,dropdown,One-Way
Dataset_002,Articles__c,Articles,dropdown,NA/None
Dataset_002,Conferences_hosted_or_co_hosted__c,Conferences (hosted or co-hosted),dropdown,Hosted or Co-hosted
Dataset_002,Fact_Sheets__c,Fact Sheets,dropdown,New
Dataset_002,Maps__c,Maps,dropdown,Updated
Dataset_002,Newsletter__c,Newsletter,dropdown,Updated
